Qatar vs Ecuador
Senegal vs Países Bajos
Qatar vs Senegal
Países Bajos vs Ecuador
Ecuador vs Senegal
Países Bajos vs Qatar
Inglaterra vs Irán
Estados Unidos vs Gales
Gales vs Irán
Inglaterra vs Estados Unidos
Gales vs Inglaterra
Irán vs Estados Unidos
Argentina vs Arabia Saudí
México vs Polonia
Polonia vs Arabia Saudí
Argentina vs México
Polonia vs Argentina
Arabia Saudí vs México
Dinamarca vs Túnez
Francia vs Australia
Túnez vs Australia
Francia vs Dinamarca
Australia vs Dinamarca
Túnez vs Francia
